date,the_hindu,business_line,remark
2026-02-19,no,no,
2026-02-20,no,no,
2026-02-21,no,no,
2026-02-22,no,no,
2026-02-23,no,no,
2026-02-24,no,no,
2026-02-25,no,no,
2026-02-26,no,no,
2026-02-27,no,no,
2026-02-28,no,no,test
2026-03-01,no,no,
2026-03-02,no,no,
2026-03-03,no,no,
2026-03-04,no,no,
2026-03-05,no,no,
2026-03-06,no,no,
2026-03-07,no,no,
2026-03-08,no,no,
2026-03-09,no,no,
2026-03-10,no,no,
2026-03-11,no,no,
2026-03-12,no,no,test
2026-03-13,no,no,
2026-03-14,no,no,
2026-03-15,yes,yes,
2026-03-16,no,no,
2026-03-17,no,no,
2026-03-18,no,no,
2026-03-19,no,no,
2026-03-20,no,no,r
2026-03-21,no,no,
2026-03-22,yes,yes,
2026-03-23,no,no,
2026-03-24,no,no,
2026-03-25,no,no,
